"id";"recordBasis";"kindOfUnit";"preparationType";"preparationDate";"gatheringDate";"collectors";"gatheringLocality";"gatheringCountry";"gatheringISOCountryCode";"gatheringLatitude";"gatheringLongitude";"institutionShort";"institutionFullName";"city";"instCountry";"instLattitude";"instLongitude";"accessionIdentifiers";"guid";"institutioncode";"collectioncode";"unitid";"scientificName";"genus";"species";"family";"order";"class";"phylum";"kingdom"
"28885233";"MaterialSample";"DNA";"gDNA";"2007-08-29T00:00:00";"26.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Venediger-Gruppe, N-Ausgang Dorfertal, Keesleg ca 1 km ENE der Johannishütte.";"Austria";"AT";"47,0636";"12,3428";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1145";"B";"DNA Bank";"DB 1145";"Artemisia";"Artemisia";\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885234";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"25.07.2007";"M. Ristow & B. Gemeinholzer";"Tirol. Osttirol, Venediger-Gruppe, Grat SE vom Wildenkogl, SW Matreier Tauernhaus.";"Austria";"AT";"47,1003";"12,4597";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1125";"B";"DNA Bank";"DB 1125";"Erigeron uniflorus";"Erigeron";"Erigeron uniflorus";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885235";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"25.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Venediger-Gruppe, NW vom Wildensee, zwischen Löbbensee und Wildenkogl, SW Matreier Tauernhaus.";"Austria";"AT";"47,1036";"12,4694";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1124";"B";"DNA Bank";"DB 1124";"Hornungia alpina";"Hornungia";"Hornungia alpina";"Brassicaceae";"Brassicales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885236";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"25.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Venediger-Gruppe, NW vom Wildensee, zwischen Löbbensee und Wildenkogl, SW Matreier Tauernhaus.";"Austria";"AT";"47,1036";"12,4694";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1123";"B";"DNA Bank";"DB 1123";"Gentianaceae";\N;\N;"Gentianaceae";"Gentianales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885237";"MaterialSample";"DNA";"gDNA";"2007-08-29T00:00:00";"24.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Lienz, Bahnhof.";"Austria";"AT";"46,8267";"12,7661";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1157";"B";"DNA Bank";"DB 1157";"Silene nutans";"Silene";"Silene nutans";"Caryophyllaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885238";"MaterialSample";"DNA";"gDNA";"2007-08-29T00:00:00";"24.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Lienz, Bahnhof.";"Austria";"AT";"46,8267";"12,7661";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1158";"B";"DNA Bank";"DB 1158";"Asteraceae";\N;\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885239";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"25.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Venediger-Gruppe, Parkplatz am Matreier Tauernhaus.";"Austria";"AT";"47,1178";"12,4986";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1113";"B";"DNA Bank";"DB 1113";"Asteraceae";\N;\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885240";"MaterialSample";"DNA";"gDNA";"2007-08-29T00:00:00";"26.07.2007";"M. Ristow & B. Gemeinholzer";"Tirol. Osttirol, Venediger-Gruppe, N-Ausgang Dorfertal, N oberhalb der Johannishütte.";"Austria";"AT";"47,0608";"12,335";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1134";"B";"DNA Bank";"DB 1134";"Schlagintweitia intybacea";"Schlagintweitia";"Schlagintweitia intybacea";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885241";"MaterialSample";"DNA";"gDNA";"2007-08-28T00:00:00";"27.07.2007";"M. Ristow, B. Gemeinholzer & C. Zidorn";"Tirol. Osttirol, Venediger-Gruppe, Timmeltal, ca 0,4 km NW der Bodenalmhütte.";"Austria";"AT";"47,03";"12,385";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1107";"B";"DNA Bank";"DB 1107";"Thalictrum minus";"Thalictrum";"Thalictrum minus";"Ranunculaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28885242";"MaterialSample";"DNA";"gDNA";"2007-08-29T00:00:00";"26.07.2007";"M. Ristow & B. Gemeinholzer";"Tirol. Osttirol, Venediger-Gruppe, Dorfertal, am Parkplatz an der Straße ca 0,7 km NW Hinterbichl.";"Austria";"AT";"47,0239";"12,3322";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1150";"B";"DNA Bank";"DB 1150";"Stachys alpina";"Stachys";"Stachys alpina";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"Plantae"
